DAY(timestamp),MONTH(timestamp),WEEKDAY(timestamp),person
17,5,3,0008ed71
31,5,3,00091926
26,3,0,00091a7a
26,5,5,000ba417
29,5,1,000c79fe
30,5,2,000e4d9e
18,5,4,000e619d
22,5,1,001001be
30,5,2,0010e89a
29,5,1,0016c4b5
31,5,3,001802e4
28,5,0,001804a2
22,5,1,0019e639
20,5,6,001a2273
22,5,1,001b0bf9
23,5,2,001ca5ee
29,5,1,001dfc31
22,5,1,001e9aea
30,5,2,0020152e
15,5,1,00202cdb
31,5,3,0022965d
17,5,3,0027574e
29,5,1,00295d74
16,5,2,002aea56
17,5,3,002b0188
25,5,4,002e74b2
29,5,1,002ed810
30,5,2,002fb981
15,5,1,00317e49
31,5,3,0031c75f
16,5,2,00344873
12,5,5,003476c0
31,5,3,003847fc
30,5,2,0038a117
18,5,4,003a05bf
22,5,1,003a7d49
15,5,1,003bdb4d
9,4,0,003d07ef
26,4,3,003d4cac
16,5,2,003dd965
15,5,1,003e7507
30,5,2,00408349
27,5,6,0041fec6
10,4,1,0042421c
18,5,4,0043a48e
28,5,0,004b8d91
25,5,4,004ed8ba
27,5,6,0050d971
26,5,5,00546e55
31,5,3,00546f4c
15,5,1,00556ee5
27,5,6,0059a996
14,5,0,005af223
23,5,2,005e06ef
28,5,0,0061cbe8
30,5,2,006549da
28,5,0,00665dda
28,4,5,006671fd
24,5,3,006bb312
10,4,1,006cabc5
26,5,5,006e1534
21,5,0,006fc943
18,5,4,00702e02
28,5,0,00736d10
25,5,4,00750af8
26,5,5,007537e8
15,5,1,00754f5e
27,5,6,0076b7dc
23,5,2,007743ca
27,5,6,007a0564
22,5,1,007ddac1
15,5,1,0081cd73
17,5,3,0081f590
19,5,5,008287e4
23,5,2,0083c22c
28,5,0,00868d8e
18,5,4,0086ee61
28,5,0,0087d959
14,4,5,0089421c
24,5,3,008a6d00
22,5,1,008b4a48
18,5,4,008bb884
7,5,0,008f480f
23,5,2,008f739f
13,4,4,009648f0
31,5,3,00970caa
25,5,4,00971729
28,5,0,009944e1
31,5,3,009a5ed5
16,5,2,009cbfb2
31,5,3,009d27e8
22,5,1,009f8292
30,5,2,00a2efc2
24,5,3,00a58494
26,4,3,00a91f61
16,5,2,00af50bb
28,5,0,00afd018
18,5,4,00b0fe02
31,5,3,00b1b9d0
23,5,2,00b2b269
31,5,3,00b5303d
31,5,3,00b6642b
23,5,2,00b8bba9
25,5,4,00b9f49d
29,5,1,00bc3bed
18,5,4,00beac49
29,5,1,00c2307c
23,5,2,00c2f60d
30,5,2,00c40a4b
26,5,5,00c955ce
31,5,3,00c9a4eb
23,5,2,00ca06d3
30,5,2,00caa482
30,5,2,00cd1373
29,5,1,00cde0db
30,5,2,00d21f5e
19,4,3,00d4b0c1
29,5,1,00d618ba
18,5,4,00d8d869
22,5,1,00dabbf1
29,5,1,00dcc618
15,5,1,00e0e219
15,5,1,00e2e06b
31,5,3,00e3c94f
21,5,0,00e6a700
20,5,6,00ea5497
25,5,4,00ecfd1a
27,5,6,00f1575c
30,5,2,00f369ef
24,5,3,00f4620f
31,5,3,00f49191
18,5,4,00f5c8be
31,5,3,00fa4cd7
28,5,0,00fd99c6
29,5,1,00ff2c51
31,5,3,010200b5
31,5,3,01022bf3
22,5,1,010358c1
30,5,2,01039bf1
27,5,6,01067e00
13,5,6,010750dc
28,5,0,0107bdfc
24,5,3,01083011
31,5,3,01094049
27,5,6,010b0b0b
19,5,5,010dce63
16,5,2,010f9396
21,5,0,01102549
27,5,6,011120d7
18,5,4,01118279
18,5,4,0111d9af
21,5,0,01126aa4
21,5,0,01127f1d
21,5,0,01183209
30,5,2,011beb42
26,5,5,011d982c
21,5,0,011e43e5
19,5,5,011fbf97
16,5,2,011fef85
31,5,3,0121c41e
22,5,1,0126d440
27,5,6,0127932b
28,5,0,0129072b
21,5,0,012af91b
25,5,4,012b81de
15,5,1,012cd55c
31,5,3,012d8fd8
17,5,3,013136c4
31,5,3,01319a6d
29,5,1,013288eb
28,5,0,0132a515
20,5,6,0137a57b
23,5,2,01395e75
4,5,4,013a0e3a
15,5,1,013dc935
30,5,2,013e1cd0
21,5,0,013ef20d
19,5,5,013fce70
29,5,1,0143d796
29,5,1,014412d6
29,3,3,0144bd58
31,5,3,0145565a
21,5,0,0146d5e8
20,5,6,0146ecbc
28,5,0,01477f15
31,5,3,014853d4
28,5,0,0148562c
23,5,2,01488a35
27,5,6,014bca6c
25,5,4,015d002b
21,5,0,015dfe12
15,5,1,015eb48a
25,5,4,015f1a84
31,5,3,015fb139
26,5,5,01605eaa
28,5,0,01638753
20,5,6,0163bf88
23,5,2,016419e1
27,5,6,0165b04a
17,5,3,0165d283
30,5,2,0165db0d
21,5,0,01692bd2
28,5,0,01696aab
30,5,2,016a78e4
30,5,2,016b86b9
25,5,4,016d0c8f
17,5,3,016efcb7
29,5,1,016f3833
26,5,5,016f7879
18,5,4,01716e05
31,5,3,0172d307
28,5,0,0173b599
23,5,2,0178b595
21,5,0,01798556
30,5,2,017a84d1
21,5,0,017a9049
31,5,3,017d35dc
31,5,3,017fd805
21,5,0,01855dab
24,5,3,018598e8
25,5,4,018774cf
18,5,4,018954fd
31,5,3,018adf26
31,5,3,018c1154
25,5,4,0190f87d
16,5,2,01914d78
19,4,3,019425a8
25,5,4,0195ed3b
10,5,3,0196054a
21,5,0,01984bc3
29,5,1,019ac712
31,5,3,019c24ae
21,5,0,019c7c78
24,5,3,01a20e81
28,5,0,01a46372
31,5,3,01a5aa29
28,5,0,01ab5296
30,5,2,01ac5844
22,5,1,01ad4042
28,5,0,01ada784
28,5,0,01add051
31,5,3,01af6573
28,5,0,01b08442
15,5,1,01b09758
16,5,2,01b12d02
15,5,1,01b47d4f
25,5,4,01b65cfa
24,5,3,01b79980
24,5,3,01b860b1
19,5,5,01b91332
30,5,2,01b97cb9
28,5,0,01be1d14
29,5,1,01c0bf0e
27,4,4,01c3addd
30,5,2,01c407bd
9,5,2,01c6281f
18,5,4,01c631cf
29,5,1,01c862be
20,5,6,01c8b35d
15,5,1,01c9f8d2
23,5,2,01caf5bf
25,5,4,01cbe6b3
28,5,0,01cd8ca8
19,5,5,01cf1230
29,5,1,01d18619
28,5,0,01d28bce
26,3,0,01d8711d
25,5,4,01dfb178
28,5,0,01e18191
30,5,2,01e2b6b0
29,5,1,01e32ed0
19,3,0,01e5ebc1
22,5,1,01ed2afc
23,5,2,01edff26
6,4,4,01f061eb
15,5,1,01f12f08
30,5,2,01f20b0a
31,5,3,01f2283b
30,5,2,01f24fc9
23,5,2,01f38aae
29,5,1,01f68b1f
29,5,1,01f8fa5b
20,5,6,01fcd7ca
17,5,3,01fe7232
15,5,1,01fee5bd
31,5,3,01ffa003
21,5,0,01ffc611
17,5,3,02005e21
31,5,3,0202e763
18,5,4,0204dcec
24,5,3,0205d5c1
30,5,2,020b50dc
24,5,3,020ca6bf
31,5,3,02103564
18,5,4,0211b4be
28,5,0,0211eed9
25,5,4,021b35b5
30,5,2,021e1312
25,5,4,021ececb
24,5,3,021f11c8
22,5,1,02208eb6
28,5,0,0222570f
29,5,1,022260de
19,5,5,0222a169
21,5,0,02238440
23,5,2,0224b8b0
15,5,1,0225aa7c
22,5,1,0225de65
19,5,5,02274195
21,5,0,0227ae9b
15,5,1,02285678
22,5,1,0228b475
20,5,6,0228c93a
30,5,2,02298b4a
28,5,0,022b69a7
21,5,0,022bd951
21,5,0,022c05dd
24,5,3,022c083c
29,5,1,022ca64b
17,5,3,023039b3
17,5,3,023215f7
27,5,6,0233c7ed
19,5,5,0234045a
22,5,1,0234e8f5
28,5,0,0234f3d7
27,5,6,023581f9
21,5,0,0235896a
28,5,0,02363ce4
28,5,0,023e49e4
17,5,3,023fafbb
31,5,3,02417ee2
31,5,3,0244969f
31,5,3,02452978
27,5,6,0246242b
29,5,1,0247c9fc
24,5,3,024803ab
20,5,6,02481958
31,5,3,02496e75
30,5,2,024b9c24
22,5,1,024ceac4
25,5,4,024ffb9b
28,5,0,0256b30a
27,5,6,0256c879
29,5,1,0256dfc5
30,5,2,025e1ccc
30,5,2,02603929
31,5,3,02633ebf
26,4,3,02648ca1
30,5,2,02694196
22,5,1,026b4007
18,5,4,026b66ef
24,5,3,0270a59f
7,5,0,027870af
28,5,0,0279a6c7
21,5,0,027b809f
29,5,1,027cb5c9
31,5,3,027e9637
30,5,2,0280a93d
24,5,3,02875920
18,5,4,0287661f
19,5,5,02878a11
30,5,2,028d0864
28,5,0,028ed1ae
29,5,1,028f05c4
23,5,2,02973cb9
28,5,0,0297fc1e
28,5,0,029889eb
16,5,2,0299c90c
20,5,6,029a5c8b
21,5,0,029e25de
14,5,0,029e5749
29,5,1,02a11379
31,5,3,02a14ee3
23,5,2,02a510fe
24,5,3,02a6d3ac
20,5,6,02a6da92
16,5,2,02a72984
22,5,1,02a88a33
30,5,2,02a9fd4c
19,5,5,02aa0266
29,5,1,02aa734f
12,5,5,02aa83c1
14,4,5,02aaf943
3,1,2,02ac4fca
31,5,3,02b02d37
29,5,1,02b0cd5c
28,5,0,02b10e44
23,5,2,02b13444
26,5,5,02b51109
31,5,3,02b8d9d5
25,5,4,02ba6bb6
23,5,2,02ba82a5
30,5,2,02bda531
31,5,3,02bf0143
16,5,2,02c2eb63
31,5,3,02c30caa
16,5,2,02c3960c
24,5,3,02c66b97
15,5,1,02c73278
27,5,6,02c9e5c7
23,5,2,02c9f7a6
29,5,1,02ce5246
22,5,1,02cec30a
23,5,2,02d1f846
22,5,1,02d42846
28,5,0,02d80cb2
29,5,1,02d90731
30,5,2,02d93f65
18,5,4,02dbbcba
29,5,1,02dd38ce
31,5,3,02de19f7
31,5,3,02e0a3c2
26,5,5,02e1a150
31,5,3,02e465f4
2,4,0,02e59a44
17,5,3,02e5a11c
29,5,1,02e65ce8
16,5,2,02e72974
24,5,3,02e7d329
21,5,0,02ea26c5
23,5,2,02eb0a9e
20,5,6,02ec2f23
26,5,5,02ecd2d2
24,5,3,02ecfb15
18,5,4,02eefc32
20,5,6,02f01ea9
30,5,2,02f0635f
25,5,4,02f14240
17,5,3,02f2b7b1
25,5,4,02f578dc
27,5,6,02f5c581
25,5,4,02f792fc
7,4,5,02f82b20
25,5,4,02fb0b61
31,5,3,02fb0bea
20,5,6,02fb1a77
21,5,0,02fc0bf8
11,5,4,02fe14e6
25,5,4,02ff33f4
31,5,3,030071f1
26,5,5,03020198
22,5,1,03042e4a
28,5,0,03066c47
21,5,0,030712a0
30,5,2,0307f75d
15,5,1,030c5d84
25,5,4,030c803c
31,5,3,030cdb09
29,5,1,03100f48
23,5,2,0310a8cd
30,3,4,03110d1d
30,5,2,0311c318
29,1,0,031481a2
11,1,3,0318fd8d
19,5,5,031bee81
21,5,0,031e80e3
31,5,3,031ee7cc
30,5,2,031fcae5
27,5,6,0321ecd6
31,5,3,03264a2e
17,5,3,0328af6d
26,5,5,032a13f5
22,5,1,032c90dd
31,5,3,032eb0b8
28,5,0,032ecde2
27,5,6,032fb2c8
29,5,1,03302054
24,5,3,0330b185
23,5,2,0332afbe
31,5,3,0337d5ce
30,5,2,0338a1ea
28,5,0,03413393
15,5,1,0341c285
28,5,0,0341e2a2
29,5,1,03421604
21,5,0,0343534b
31,5,3,03439225
16,5,2,03490d00
21,5,0,034ab8b8
12,5,5,034aee83
30,5,2,034e4f2f
23,5,2,034ec132
27,5,6,034fbc8a
22,4,6,0352d9b3
27,5,6,03533e4f
29,5,1,0353af22
30,5,2,035626f1
24,5,3,0357a791
22,5,1,035be698
25,5,4,035c9c3c
24,5,3,035ff4f3
25,5,4,03630617
20,5,6,03631044
23,5,2,03654863
25,5,4,036647bb
31,5,3,03665977
20,5,6,0366a065
25,5,4,0368b777
19,5,5,036cdf5a
30,5,2,036d3644
20,5,6,03739332
26,5,5,03754d73
22,5,1,03759a7b
21,5,0,0378916d
24,5,3,037a2f9e
30,5,2,037b36f8
11,5,4,037bf2d2
28,5,0,037c8a2b
21,5,0,037f094d
27,5,6,037f3cec
26,5,5,0382adc4
25,5,4,03836d05
30,5,2,03841432
28,5,0,0384b2bd
16,5,2,0384dbbf
31,5,3,038d2328
19,5,5,038e3cd5
22,5,1,0391da64
24,5,3,0393253c
15,5,1,03978515
18,5,4,039a1fa7
23,5,2,039c02c5
26,5,5,039ccd71
19,5,5,039d87dc
20,5,6,039fe371
16,5,2,03a07318
15,5,1,03a0d815
31,5,3,03a11e22
28,5,0,03a1b4d1
29,5,1,03a5acfb
29,5,1,03a67237
31,5,3,03a67b1c
22,5,1,03a7662e
29,5,1,03aa060a
23,5,2,03aa82cb
26,5,5,03ab59d3
12,5,5,03ae1796
21,5,0,03ae7227
13,1,5,03af5596
29,5,1,03b30b1a
16,5,2,03b3aa5c
22,4,6,03b6cecb
31,5,3,03b7f5bb
11,5,4,03b7f931
31,5,3,03b999c7
15,5,1,03bb6dc9
25,5,4,03bcd854
23,5,2,03bd1506
31,5,3,03bfba07
30,5,2,03c2b5c1
31,5,3,03c2b649
23,5,2,03c2bb80
29,5,1,03c58152
24,5,3,03c5f42d
22,5,1,03c6c909
29,5,1,03c6dbf0
31,5,3,03c72157
22,5,1,03c81048
15,5,1,03c815a4
31,5,3,03c99f07
18,5,4,03cc74c0
23,5,2,03cfb24d
18,5,4,03d1dc12
18,5,4,03d2422e
20,5,6,03d242c6
31,5,3,03d269f6
30,5,2,03d5db8f
29,5,1,03d85b53
17,5,3,03da112f
29,5,1,03da16b8
30,5,2,03db7c49
26,5,5,03db8124
16,5,2,03dc6595
25,5,4,03dde3a4
18,5,4,03de79e8
27,5,6,03dec268
18,5,4,03e36bd0
27,5,6,03e50576
26,5,5,03e5b74b
27,5,6,03e61256
30,5,2,03e69cc8
25,5,4,03e9630c
28,5,0,03ea1c12
31,5,3,03eb4dd6
25,5,4,03edc574
17,5,3,03edef0c
29,5,1,03f124c5
15,5,1,03f1562e
29,5,1,03f4ffdf
24,5,3,03f589a0
30,5,2,03f60e32
29,5,1,03f7983d
22,5,1,03f9455b
22,5,1,03f9eb63
27,5,6,03fb9fde
21,5,0,0401277e
25,5,4,04014a58
17,5,3,04026e6d
22,5,1,04034ae8
22,5,1,0403b65b
19,5,5,0404e68f
28,5,0,04068dcd
18,5,4,0406c39e
26,5,5,0408f3f4
31,5,3,040ad2f1
30,5,2,040f38ba
31,5,3,0411efc6
28,5,0,04135452
18,5,4,0413b563
23,5,2,04145809
28,5,0,0414bc4c
17,5,3,0415c30d
25,5,4,041627fe
28,5,0,0417a96d
29,5,1,041a0301
29,5,1,041b49c5
31,5,3,041d7e7c
27,5,6,041dc1c0
16,5,2,041dc456
30,5,2,041e67c8
16,2,4,04218827
17,5,3,042467f9
22,3,3,04247184
29,5,1,042481ae
28,5,0,04287e35
17,5,3,042b0008
31,5,3,042b1af5
16,5,2,042bd446
29,5,1,042ceff2
31,5,3,042daf42
30,5,2,042e28ac
30,5,2,042e3717
25,5,4,0432dba1
16,5,2,04339a2a
31,5,3,04339d40
31,5,3,043498e0
30,5,2,04372918
28,5,0,04386a90
30,5,2,04392952
29,5,1,043a4def
31,5,3,043bbb8c
28,5,0,043da730
30,4,0,043ec736
30,5,2,044009fe
28,5,0,04452b51
16,5,2,0446080d
27,5,6,04462fcd
22,5,1,04463f03
21,5,0,04479796
26,5,5,044798c5
31,5,3,0448e78c
30,5,2,044bbf67
17,5,3,044c7b95
30,5,2,044cd20c
30,5,2,044df6bc
17,5,3,0450c157
29,5,1,0454bd8b
28,5,0,0454d395
31,5,3,045524b6
26,5,5,0457712f
12,2,0,045a01b7
24,5,3,045ccfc6
30,5,2,045ed46b
29,5,1,045fb3f8
28,5,0,046261a1
15,5,1,04650e70
29,5,1,046642cb
18,5,4,046d3ba1
19,5,5,046efad8
20,5,6,046f4eee
28,5,0,046f8ccb
26,5,5,04704db7
12,3,0,04706d48
17,5,3,04708f23
25,5,4,0471cda1
25,5,4,047286c8
30,5,2,0473d45c
26,5,5,0473d703
28,5,0,047425e8
27,5,6,047525d7
30,5,2,0478a958
25,5,4,047bf097
31,5,3,047bf4c8
27,5,6,047c5000
30,5,2,047eaf93
23,5,2,047ecdfe
26,5,5,047fecb5
18,5,4,0482fc3a
26,5,5,04858d07
26,5,5,048623e1
23,5,2,04868458
29,5,1,04877609
23,5,2,0487acc0
25,5,4,048a0e28
29,5,1,048a9272
30,5,2,048b2bed
30,5,2,048b7adb
23,5,2,048c1643
30,5,2,048e6ef0
9,5,2,048e8a05
29,5,1,048f0b15
31,5,3,048fe060
16,5,2,0490bc0a
15,5,1,04923a0b
26,5,5,049392e4
31,5,3,04993f2b
21,5,0,049a9e4a
28,5,0,049b4dfb
31,5,3,049c35a9
31,5,3,049c64d6
27,5,6,049da6d9
28,5,0,049eb8ac
30,5,2,04a15614
22,5,1,04a1be72
23,5,2,04a2caa8
29,1,0,04a31cb9
24,5,3,04a5bf7c
29,5,1,04a68895
24,5,3,04a89fe5
29,5,1,04ac1d2b
11,3,6,04ae2dfe
29,5,1,04afcae5
31,5,3,04b0de51
28,5,0,04b134be
29,5,1,04b13fd2
23,5,2,04b3cf8f
27,5,6,04b69fde
21,5,0,04b93ba0
19,5,5,04b93eba
24,4,1,04bbc907
28,5,0,04bfc38e
11,4,2,04c13da6
30,5,2,04c39d24
25,5,4,04c79bf6
25,5,4,04c7ed44
25,5,4,04c8323e
22,4,6,04c9c1ed
15,5,1,04ccd264
23,5,2,04cfa3c4
26,5,5,04cfe908
30,5,2,04d23d88
19,5,5,04d2d0ee
21,5,0,04d2ee78
26,5,5,04d31d7a
30,5,2,04d814ae
31,5,3,04d9cb0e
16,5,2,04dba417
15,5,1,04dc5661
17,5,3,04de8d3e
18,5,4,04ded3e6
23,5,2,04dfc05f
28,5,0,04e15d15
24,5,3,04e48a72
30,5,2,04e5a487
31,5,3,04e667e4
31,5,3,04e6d352
17,5,3,04e7e01f
22,5,1,04edbc20
27,5,6,04ee8093
29,5,1,04f00b27
31,5,3,04f2e560
15,5,1,04f4febe
29,5,1,04fcfce0
27,5,6,05076463
17,5,3,0507e49a
24,5,3,0507e8f2
21,5,0,050956cd
31,5,3,0509bcf4
30,5,2,050bb676
29,5,1,050c6066
31,5,3,050deaa3
28,5,0,050f1a22
22,5,1,051509f1
29,5,1,0515aca9
25,5,4,0517f1f4
29,5,1,0518b8f2
30,5,2,051b11a7
21,5,0,051bee61
15,5,1,05204945
18,4,2,052078d1
29,5,1,052163a1
21,5,0,052231b9
27,5,6,0522a4fa
15,5,1,05237699
20,5,6,05241c33
31,5,3,0527b5ae
19,5,5,05288788
30,5,2,052a0610
17,5,3,052a2d62
28,5,0,052adc12
18,5,4,052d6778
30,5,2,052e394d
26,5,5,05313660
30,5,2,05349582
24,5,3,05369f37
17,5,3,053a1fb6
9,5,2,053b53ed
24,5,3,053c8c48
25,5,4,053ca79c
31,5,3,053db417
28,5,0,053e23ce
29,5,1,053f578d
3,5,3,054013e8
31,5,3,05415a64
31,5,3,05434466
21,5,0,05445b67
22,5,1,05458471
18,5,4,05473316
17,5,3,05477b14
28,5,0,054885ca
17,5,3,0548aae1
17,5,3,054a0951
24,5,3,054b1dd6
22,5,1,054b4d4b
31,5,3,054c06b7
22,5,1,054e8d43
30,5,2,0552b617
31,5,3,0552ee2b
31,5,3,05566ef0
23,5,2,05567c7b
30,5,2,0556c3b8
30,5,2,05596145
15,5,1,055ce8c8
26,5,5,0564216a
17,5,3,0566e256
31,5,3,0566e9c1
27,5,6,05673798
24,5,3,0567a51f
17,5,3,056bde30
19,5,5,056e7674
30,5,2,056f89d4
19,5,5,0577c4e4
14,3,2,057a408e
31,5,3,057a8bc2
31,5,3,057aa717
20,5,6,057b8da0
21,5,0,057baac6
24,5,3,0582076c
19,5,5,05832043
25,5,4,05842367
23,5,2,05845094
31,5,3,0589bc9f
25,5,4,058c45b3
18,5,4,058d33f5
23,5,2,058e5305
24,5,3,058f8a59
24,5,3,05901e74
29,5,1,0592919f
23,5,2,05947543
27,5,6,0594ae6a
28,5,0,0595673e
17,5,3,059bcf05
25,5,4,059cb926
25,5,4,059d594b
22,3,3,059f4e3c
26,5,5,05a0feb5
22,5,1,05a3f374
17,5,3,05a5137c
26,5,5,05a565eb
31,5,3,05a82598
22,5,1,05a99822
29,5,1,05a9aa0a
28,5,0,05ab0341
15,5,1,05aba175
31,5,3,05ac0937
29,5,1,05ad382c
30,5,2,05b22e4c
16,5,2,05b53558
16,5,2,05b7d297
25,5,4,05b83408
18,5,4,05b98856
25,5,4,05ba5474
23,5,2,05bbd123
30,5,2,05bd7ac9
21,5,0,05bdae94
21,5,0,05bf14be
24,5,3,05cdf42f
24,5,3,05ce4c68
24,5,3,05d3c1a1
5,2,0,05d47572
29,5,1,05d6426e
26,4,3,05d9ceb0
24,4,1,05df8dea
3,5,3,05e135bf
22,5,1,05e298fd
16,5,2,05e2dc41
30,5,2,05e62dde
31,5,3,05e816e1
22,5,1,05e9dc15
16,5,2,05ec0416
12,5,5,05ede960
31,5,3,05f5d7e6
16,5,2,05f64854
30,5,2,05f9aabd
30,5,2,05fab3e2
31,5,3,05fb7314
20,5,6,05fdf4d4
29,5,1,060080bd
20,5,6,06010f51
20,5,6,0601784e
15,5,1,06036e3c
30,5,2,0603dfa7
15,5,1,06054a70
29,5,1,06077235
28,5,0,060788cf
31,5,3,060cd447
31,5,3,060f1915
23,5,2,0615817a
31,5,3,0616a3c7
30,5,2,0616d0f3
24,5,3,061c36f3
31,5,3,061dfed7
15,5,1,06230959
30,5,2,0623d3b0
30,5,2,062591e3
28,5,0,06260f15
30,5,2,062653c2
24,5,3,06271090
20,5,6,062814c7
15,5,1,06286d66
31,5,3,062d7384
31,5,3,062dd1cb
29,5,1,062f6d02
18,5,4,0630c31f
