person,busco_top_5_visitas,visito_mas_que_el_promedio,siempre_incrementando,inc_ultimo_mes,mismo_interes_ultimos_dos_meses,ingreso_el_ultimo_mes,ingreso_ultima_quincena
4886f805,0.0,False,0,1,0,True,False
ad93850f,1.0,True,0,1,0,True,True
0297fc1e,1.0,True,0,1,1,True,True
2d681dd8,1.0,False,0,1,0,True,True
cccea85e,0.0,True,0,1,0,True,True
4c8a8b93,1.0,True,0,1,0,True,True
1b9f7cf6,1.0,False,0,1,0,True,True
29ebb414,0.0,False,0,1,0,True,False
de8fe91b,0.0,True,0,1,0,True,True
45baf068,0.0,False,0,1,0,True,False
99abca5a,0.0,True,0,0,0,True,True
3dc1950f,0.0,True,0,0,0,True,True
8ea4c165,0.0,True,0,1,0,True,False
64f45e8d,0.0,True,0,1,0,True,False
d8cfe234,0.0,True,0,1,0,True,True
ade6b3bf,0.0,True,0,1,0,True,True
d73ae9ef,1.0,False,0,1,0,True,False
d6bc64df,0.0,True,0,0,0,True,False
ec9c4059,1.0,True,0,1,1,True,False
b2cde41a,1.0,True,0,1,0,True,True
15ea8012,0.0,True,0,1,0,True,False
43790d8f,0.0,True,0,1,0,True,True
d21b8e6b,0.0,False,0,1,0,True,False
2a724d87,1.0,False,0,1,0,True,False
429c8732,0.0,True,0,1,0,True,True
686c49c9,1.0,True,0,1,0,True,False
4e03ed9a,0.0,False,0,1,0,True,True
a08d42ea,0.0,True,0,1,0,True,True
16fad36a,1.0,True,0,1,1,True,True
be32e904,1.0,False,0,1,0,True,False
6e6770c3,0.0,True,0,1,0,True,False
9bb3af27,0.0,False,0,1,0,True,False
c98f5cf1,0.0,True,1,1,0,True,True
ba3e8a89,0.0,True,0,1,0,True,True
d614c608,0.0,False,0,1,0,True,True
2e225ac4,0.0,True,0,1,0,True,False
fc278339,0.0,True,0,0,0,True,True
e45acd53,0.0,True,0,1,0,True,True
7d876393,0.0,True,0,1,0,True,True
f5af843f,1.0,True,0,1,0,True,True
8f1679ff,0.0,True,0,1,0,True,True
5a724794,0.0,True,0,1,0,True,True
c31d0174,0.0,True,0,1,1,True,True
584f5175,0.0,True,0,1,0,True,True
00091926,1.0,True,0,1,0,True,True
911a21cb,0.0,True,0,1,0,True,True
16d0e27d,1.0,True,0,1,0,True,False
55d1e0ee,0.0,True,0,1,0,True,True
f87be219,0.0,False,0,1,0,True,False
49c19e32,0.0,True,0,1,0,True,False
eb6c498c,1.0,True,1,1,1,True,True
bb78c182,0.0,False,0,1,0,True,False
e2bfe05f,0.0,True,0,1,0,True,False
e6c21c98,0.0,True,0,1,0,True,False
83f6fb70,0.0,True,0,1,0,True,True
0e9d0ae2,0.0,False,0,1,0,True,False
cb68850c,1.0,False,0,1,0,True,True
f30ef764,1.0,False,0,1,0,True,False
ca5fa859,1.0,True,0,1,0,True,False
4f06f2dd,0.0,True,0,1,0,True,True
872d9b83,0.0,True,0,1,1,True,True
dca7e4fa,1.0,True,0,1,0,True,True
18489dd5,1.0,True,0,1,0,True,True
f389e5ef,1.0,True,0,1,0,True,False
566b70c7,0.0,False,0,1,0,True,False
3cb2bfc5,0.0,False,0,1,0,True,False
0ec008ff,0.0,True,0,1,0,True,True
19876c5b,1.0,True,0,1,0,True,False
47710d5d,0.0,True,0,1,0,True,True
36606944,1.0,True,0,1,0,True,True
3c36c384,0.0,True,0,1,0,True,True
25ec69e5,0.0,True,0,1,0,True,True
02a9fd4c,1.0,False,0,1,0,True,True
77edab49,0.0,False,0,1,0,True,False
e9c847d7,1.0,True,0,1,0,True,True
cf26e7dd,0.0,True,0,1,0,True,True
8f7d334b,1.0,True,0,1,0,True,False
fd683087,0.0,True,0,1,0,True,True
aa5593bc,0.0,True,0,1,0,True,True
2f628db1,1.0,True,0,1,1,True,True
e39a4b4f,0.0,True,0,1,0,True,False
b6ff254a,1.0,True,0,1,0,True,False
8aeb37ef,0.0,True,0,1,0,True,True
4030bc9c,0.0,True,0,1,0,True,False
78c4ca18,0.0,False,0,1,0,True,False
0204dcec,1.0,True,0,1,0,True,False
99c11fb0,0.0,True,0,1,0,True,True
d383e068,0.0,False,0,1,0,True,False
c76b8417,0.0,True,0,1,0,True,True
5cc1dc20,0.0,False,0,1,0,True,False
17c183c9,0.0,True,0,1,0,True,True
b51c3897,0.0,True,0,1,0,True,True
49013e40,0.0,True,0,1,0,True,True
18ad1f7c,0.0,True,0,1,0,True,True
ea679233,0.0,True,0,1,0,True,True
1b373281,0.0,True,0,0,0,True,True
39df97e0,0.0,True,0,1,0,True,True
d471ab7a,0.0,True,0,1,0,True,True
4473cb91,0.0,False,0,1,0,True,True
a90bb821,0.0,True,0,1,0,True,True
66f3c5a8,0.0,False,0,1,0,True,True
dedf1377,0.0,True,0,1,0,True,True
6972936f,1.0,False,0,1,0,True,True
f484e20b,1.0,True,0,0,1,True,True
78a17666,0.0,True,0,1,0,True,True
bb5c496a,1.0,True,0,1,0,True,True
fa15dd75,0.0,True,0,1,1,True,True
8036d563,0.0,False,0,1,0,True,True
051b11a7,1.0,True,0,1,0,True,True
a708f6b7,0.0,False,0,1,0,True,True
aa86dd13,0.0,True,0,1,0,True,True
