person,modelo_mas_visitado,region_persona,pais,evento_predominante_mes_5,semana_mas_interactuante,device_type,channel_frecuente
4886f805,Samsung Galaxy J7 Prime,Rio de Janeiro,Brazil,viewed product,Third,Smartphone,Organic
ad93850f,iPhone 5s,Sao Paulo,Brazil,viewed product,Third,Smartphone,Paid
0297fc1e,iPhone 6,Rio de Janeiro,Brazil,viewed product,Fourth,Smartphone,Direct
2d681dd8,iPhone 7,Sao Paulo,Brazil,viewed product,Fourth,Computer,Organic
cccea85e,Motorola Moto G4 Plus,Sao Paulo,Brazil,viewed product,Third,Computer,Organic
4c8a8b93,iPhone 6,Sao Paulo,Brazil,viewed product,Third,Smartphone,Referral
1b9f7cf6,iPhone 6,Unknown,Brazil,viewed product,Third,Smartphone,Organic
29ebb414,iPhone 6S Plus,Rio de Janeiro,Brazil,searched products,Third,Smartphone,Paid
de8fe91b,Samsung Galaxy J7 Prime,Sao Paulo,Brazil,viewed product,Third,Computer,Direct
45baf068,Samsung Galaxy S6 Flat,Unknown,Brazil,viewed product,Third,Smartphone,Paid
99abca5a,Motorola Moto G5 Plus,Minas Gerais,Brazil,viewed product,First,Computer,Direct
3dc1950f,Motorola Moto X2,Ceara,Brazil,viewed product,Third,Computer,Direct
8ea4c165,Samsung Galaxy J7 Prime,Sao Paulo,Brazil,viewed product,Third,Computer,Paid
64f45e8d,Samsung Galaxy S8 Plus,Amazonas,Brazil,viewed product,Third,Computer,Direct
d8cfe234,Samsung Galaxy S5,Unknown,Brazil,viewed product,Third,Computer,Organic
ade6b3bf,Motorola Moto G4 Plus,Bahia,Brazil,viewed product,Third,Smartphone,Referral
d73ae9ef,iPhone 5s,Santa Catarina,Brazil,generic listing,Third,Smartphone,Direct
d6bc64df,iPhone 5c,Para,Brazil,viewed product,Third,Smartphone,Paid
ec9c4059,iPhone 6,Rio de Janeiro,Brazil,viewed product,Third,Smartphone,Direct
b2cde41a,iPhone 7,Unknown,Brazil,viewed product,Third,Computer,Direct
15ea8012,Samsung Galaxy S8 Plus,Sao Paulo,Brazil,viewed product,Third,Smartphone,Paid
43790d8f,Motorola Moto G4 Plus,Sao Paulo,Brazil,viewed product,Third,Smartphone,Direct
d21b8e6b,0,0,0,viewed product,Third,,
2a724d87,iPhone 5s,Unknown,Brazil,visited site,Third,Computer,Paid
429c8732,Motorola Moto G3 HDTV,Rio de Janeiro,Brazil,viewed product,Third,Computer,Paid
686c49c9,iPhone 7,Sao Paulo,Brazil,viewed product,Third,Smartphone,Direct
4e03ed9a,Samsung Galaxy J5,Ceara,Brazil,ad campaign hit,Third,Smartphone,Paid
a08d42ea,Samsung Galaxy S6 Flat,Rio de Janeiro,Brazil,viewed product,Third,Computer,Direct
16fad36a,iPhone 5s,Sao Paulo,Brazil,viewed product,Third,Computer,Paid
be32e904,iPhone 6,Unknown,Brazil,searched products,Third,Smartphone,Paid
6e6770c3,Samsung Galaxy J2 Prime TV,Unknown,Brazil,viewed product,Third,Computer,Paid
9bb3af27,Samsung Galaxy S5,Minas Gerais,Brazil,viewed product,Third,Smartphone,Paid
c98f5cf1,Samsung Galaxy S6 Edge,Rio de Janeiro,Brazil,viewed product,Third,Smartphone,Referral
ba3e8a89,Sony Xperia Z2,Sao Paulo,Brazil,viewed product,Third,Computer,Direct
d614c608,Samsung Galaxy J5,Sao Paulo,Brazil,ad campaign hit,Third,Smartphone,Paid
2e225ac4,Samsung Galaxy J7 Prime,Rio Grande do Norte,Brazil,viewed product,Third,Smartphone,Paid
fc278339,Samsung Galaxy Gran Prime Duos TV,Sao Paulo,Brazil,brand listing,First,Computer,Direct
e45acd53,Samsung Galaxy On 7,Sao Paulo,Brazil,viewed product,Fourth,Computer,Direct
7d876393,Samsung Galaxy S7,Sao Paulo,Brazil,viewed product,Second,Computer,Paid
f5af843f,iPhone 6,Sao Paulo,Brazil,viewed product,Third,Smartphone,Paid
8f1679ff,Samsung Galaxy J5 Prime,Para,Brazil,viewed product,Third,Smartphone,Paid
5a724794,Motorola Moto G4 Plus,Sao Paulo,Brazil,viewed product,Third,Smartphone,Referral
c31d0174,iPhone 7 Plus,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Direct
584f5175,iPhone 6S Plus,Unknown,Brazil,viewed product,Third,Smartphone,Referral
00091926,iPhone 6S,Rio Grande do Sul,Brazil,viewed product,Third,Computer,Direct
911a21cb,Samsung Galaxy S8,Unknown,Brazil,viewed product,Third,Smartphone,Organic
16d0e27d,iPhone 5s,Minas Gerais,Brazil,viewed product,Third,Computer,Direct
55d1e0ee,Samsung Galaxy Core Plus Duos TV,Santa Catarina,Brazil,viewed product,Third,Smartphone,Direct
f87be219,iPhone 5c,Rio Grande do Sul,Brazil,viewed product,Third,Smartphone,Paid
49c19e32,iPhone 5c,Sao Paulo,Brazil,viewed product,Third,Smartphone,Paid
eb6c498c,iPhone 6S,Minas Gerais,Brazil,viewed product,Fourth,Computer,Direct
bb78c182,Motorola Moto G3 4G,Federal District,Brazil,viewed product,Third,Computer,Paid
e2bfe05f,iPhone 7 Plus,Goias,Brazil,viewed product,Third,Computer,Organic
e6c21c98,Samsung Galaxy J5,Sao Paulo,Brazil,viewed product,Third,Smartphone,Referral
83f6fb70,Samsung Galaxy S8 Plus,Minas Gerais,Brazil,viewed product,Third,Computer,Direct
0e9d0ae2,Samsung Galaxy S6 Flat,Unknown,Unknown,viewed product,Third,Smartphone,Paid
cb68850c,iPhone 6,Rio Grande do Sul,Brazil,searched products,Third,Smartphone,Direct
f30ef764,iPhone 6,Sao Paulo,Brazil,viewed product,Third,Smartphone,Paid
ca5fa859,Samsung Galaxy S7 Edge,Unknown,Brazil,viewed product,Third,Smartphone,Paid
4f06f2dd,Motorola Moto G4 Plus,Unknown,Unknown,viewed product,Third,Computer,Paid
872d9b83,iPhone 7 Plus,Sao Paulo,Brazil,viewed product,Fourth,Computer,Paid
dca7e4fa,iPhone 6S,Sao Paulo,Brazil,viewed product,Third,Computer,Paid
18489dd5,iPhone 5s,Unknown,Brazil,viewed product,Second,Smartphone,Direct
f389e5ef,iPhone 6S,Bahia,Brazil,viewed product,Third,Unknown,Paid
566b70c7,0,0,0,viewed product,Third,,
3cb2bfc5,Samsung Galaxy A3 2016,Santa Catarina,Brazil,viewed product,Third,Computer,Paid
0ec008ff,Motorola Moto G4 Plus,Espirito Santo,Brazil,viewed product,Fifth,Computer,Paid
19876c5b,iPhone 7 Plus,Rio de Janeiro,Brazil,viewed product,Second,Computer,Direct
47710d5d,Samsung Galaxy S6 Edge,Rio Grande do Sul,Brazil,viewed product,Second,Smartphone,Referral
36606944,iPhone 6,Santa Catarina,Brazil,viewed product,Fourth,Computer,Paid
3c36c384,Motorola Moto G2 3G Dual,Sao Paulo,Brazil,viewed product,Third,Smartphone,Direct
25ec69e5,Samsung Galaxy J7,Parana,Brazil,viewed product,Third,Smartphone,Paid
02a9fd4c,iPhone 5s,Tocantins,Brazil,viewed product,Third,Computer,Direct
77edab49,Motorola Moto G2 4G Dual,Bahia,Brazil,viewed product,Third,Smartphone,Organic
e9c847d7,iPhone 6,Unknown,Brazil,viewed product,Third,Smartphone,Paid
cf26e7dd,Samsung Galaxy S8 Plus,Rio Grande do Norte,Brazil,viewed product,Third,Smartphone,Referral
8f7d334b,iPhone 5s,Bahia,Brazil,viewed product,Third,Smartphone,Direct
fd683087,Samsung Galaxy S6 Edge,Tocantins,Brazil,viewed product,Second,Smartphone,Direct
aa5593bc,Motorola Moto G3 4G,Rio de Janeiro,Brazil,viewed product,Third,Smartphone,Direct
2f628db1,iPhone 6S,Sao Paulo,Brazil,viewed product,Second,Computer,Paid
e39a4b4f,Motorola Moto G4 Plus,Sao Paulo,Brazil,viewed product,Third,Smartphone,Referral
b6ff254a,iPhone 5s,Sao Paulo,Brazil,viewed product,Third,Smartphone,Paid
8aeb37ef,Samsung Galaxy S6 Flat,Unknown,Brazil,viewed product,Third,Computer,Direct
4030bc9c,Sony Xperia Z3 Plus,Minas Gerais,Brazil,viewed product,Third,Smartphone,Organic
78c4ca18,Motorola Moto X Play 4G Dual,Maranhao,Brazil,viewed product,First,Smartphone,Paid
0204dcec,iPhone 7,Rio de Janeiro,Brazil,viewed product,Third,Smartphone,Direct
99c11fb0,Samsung Galaxy S6 Edge,Santa Catarina,Brazil,viewed product,Third,Smartphone,Paid
d383e068,Samsung Galaxy S8 Plus,Minas Gerais,Brazil,viewed product,Third,Computer,Paid
c76b8417,Samsung Galaxy A3 Duos,Parana,Brazil,viewed product,First,Smartphone,Organic
5cc1dc20,Samsung Galaxy J7 Prime,Unknown,Brazil,viewed product,Third,Smartphone,Paid
17c183c9,Samsung Galaxy S5 New Edition Duos ,Sao Paulo,Brazil,viewed product,Second,Smartphone,Direct
b51c3897,Samsung Galaxy Core Plus Duos TV,Minas Gerais,Brazil,viewed product,Fifth,Computer,Organic
49013e40,Samsung Galaxy J1 Mini,Unknown,Brazil,viewed product,Fifth,Smartphone,Referral
18ad1f7c,iPhone 5c,Unknown,Brazil,viewed product,Third,Smartphone,Referral
ea679233,Samsung Galaxy S7,Goias,Brazil,viewed product,Fifth,Computer,Direct
1b373281,Samsung Galaxy S7,Unknown,Brazil,viewed product,Second,Smartphone,Direct
39df97e0,Samsung Galaxy J2 Prime TV,Minas Gerais,Brazil,viewed product,Fourth,Smartphone,Paid
d471ab7a,Samsung Galaxy S8,Pernambuco,Brazil,viewed product,Fourth,Computer,Direct
4473cb91,iPhone 4G,Rio Grande do Sul,Brazil,viewed product,Fourth,Smartphone,Organic
a90bb821,Motorola Moto X Play 4G Dual,Santa Catarina,Brazil,search engine hit,Fifth,Smartphone,Paid
66f3c5a8,Samsung Galaxy J5,Bahia,Brazil,viewed product,Fourth,Smartphone,Paid
dedf1377,iPhone 7 Plus,Sao Paulo,Brazil,viewed product,Fifth,Smartphone,Referral
6972936f,iPhone 5s,Minas Gerais,Brazil,viewed product,Fifth,Smartphone,Paid
f484e20b,Samsung Galaxy S7 Edge,Sao Paulo,Brazil,viewed product,Third,Smartphone,Direct
78a17666,iPhone 5c,Rio de Janeiro,Brazil,viewed product,Fifth,Computer,Referral
bb5c496a,iPhone 6,Unknown,Brazil,viewed product,Fifth,Smartphone,Paid
fa15dd75,iPhone 5c,Sao Paulo,Brazil,viewed product,Second,Smartphone,Paid
8036d563,Samsung Galaxy S5 New Edition Duos ,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Paid
051b11a7,iPhone 5s,Sergipe,Brazil,viewed product,Fourth,Smartphone,Paid
