person,cant_checkouts_5,%checkouts,checkouts_ult_semana,act_primera_semana,act_ultima_semana,mayor_actividad_ult_semana,cant_modelos_distintos,cant_checkouts_dif_modelos,MAX(cant_interacciones_por_modelo),MEAN(cant_interacciones_por_modelo),Checkout max,Checkout mean,cant_lead_5to_mes,cant_modelos_que_consulto_stock
4886f805,1.0,11.11111111111111,0.0,0.0,0.0,0,1.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0
ad93850f,1.0,1.5384615384615385,0.0,0.0,0.0,0,3.0,1.0,18.0,7.0,1.0,1.0,0.0,0.0
0297fc1e,2.0,1.1560693641618496,0.0,22.0,8.0,0,11.0,2.0,79.0,12.272727272727273,1.0,1.0,0.0,0.0
2d681dd8,1.0,3.8461538461538463,0.0,0.0,0.0,0,3.0,1.0,6.0,4.666666666666667,1.0,1.0,0.0,0.0
cccea85e,1.0,0.11961722488038277,0.0,0.0,252.0,1,57.0,1.0,253.0,12.982456140350877,1.0,1.0,0.0,0.0
4c8a8b93,2.0,0.7782101167315175,0.0,0.0,0.0,0,9.0,2.0,84.0,19.88888888888889,1.0,1.0,0.0,0.0
1b9f7cf6,1.0,4.0,0.0,0.0,0.0,0,2.0,1.0,8.0,5.0,1.0,1.0,0.0,0.0
29ebb414,1.0,2.857142857142857,0.0,0.0,0.0,0,3.0,1.0,7.0,3.0,1.0,1.0,0.0,0.0
de8fe91b,1.0,1.8867924528301887,0.0,0.0,0.0,0,15.0,1.0,12.0,1.8666666666666667,1.0,1.0,0.0,0.0
45baf068,1.0,5.0,0.0,0.0,0.0,0,2.0,1.0,6.0,3.5,1.0,1.0,0.0,0.0
99abca5a,6.0,3.1746031746031744,0.0,52.0,5.0,0,19.0,2.0,56.0,5.7894736842105265,5.0,3.0,0.0,0.0
3dc1950f,2.0,0.6968641114982579,0.0,29.0,5.0,0,32.0,2.0,68.0,7.8125,1.0,1.0,0.0,0.0
8ea4c165,2.0,1.5267175572519083,0.0,0.0,0.0,0,14.0,1.0,24.0,6.357142857142857,2.0,2.0,0.0,0.0
64f45e8d,2.0,4.25531914893617,0.0,0.0,0.0,0,4.0,1.0,21.0,8.5,2.0,2.0,0.0,0.0
d8cfe234,2.0,3.7735849056603774,0.0,0.0,0.0,0,7.0,1.0,16.0,5.571428571428571,2.0,2.0,0.0,0.0
ade6b3bf,1.0,0.7194244604316548,0.0,0.0,47.0,1,13.0,1.0,52.0,7.153846153846154,1.0,1.0,0.0,0.0
d73ae9ef,1.0,5.88235294117647,0.0,0.0,0.0,0,1.0,1.0,6.0,6.0,1.0,1.0,0.0,0.0
d6bc64df,1.0,1.0204081632653061,0.0,0.0,0.0,0,10.0,1.0,25.0,6.6,1.0,1.0,0.0,0.0
ec9c4059,2.0,2.380952380952381,0.0,0.0,0.0,0,3.0,1.0,17.0,7.333333333333333,2.0,2.0,0.0,0.0
b2cde41a,1.0,2.7027027027027026,0.0,0.0,0.0,0,7.0,1.0,10.0,4.0,1.0,1.0,0.0,0.0
15ea8012,4.0,5.333333333333334,0.0,0.0,0.0,0,3.0,2.0,22.0,10.666666666666666,3.0,2.0,0.0,0.0
43790d8f,2.0,2.631578947368421,0.0,0.0,3.0,1,21.0,1.0,16.0,3.0476190476190474,2.0,2.0,0.0,0.0
d21b8e6b,2.0,15.384615384615385,0.0,0.0,0.0,0,1.0,1.0,7.0,7.0,2.0,2.0,0.0,0.0
2a724d87,1.0,14.285714285714285,0.0,0.0,0.0,0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0
429c8732,1.0,0.12048192771084339,0.0,0.0,0.0,0,45.0,1.0,226.0,15.977777777777778,1.0,1.0,0.0,0.0
686c49c9,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,13.0,6.333333333333333,0.0,0.0,0.0,0.0
4e03ed9a,1.0,4.0,0.0,0.0,0.0,0,2.0,1.0,4.0,2.5,1.0,1.0,0.0,0.0
a08d42ea,1.0,1.694915254237288,0.0,0.0,0.0,0,16.0,1.0,10.0,2.6875,1.0,1.0,0.0,0.0
16fad36a,0.0,0.0,0.0,183.0,30.0,0,44.0,0.0,25.0,7.136363636363637,0.0,0.0,0.0,0.0
be32e904,2.0,8.695652173913043,0.0,0.0,0.0,0,3.0,2.0,4.0,3.3333333333333335,1.0,1.0,0.0,0.0
6e6770c3,2.0,3.389830508474576,0.0,0.0,0.0,0,12.0,2.0,6.0,2.25,1.0,1.0,0.0,0.0
9bb3af27,0.0,0.0,0.0,0.0,0.0,0,9.0,0.0,4.0,1.8888888888888888,0.0,0.0,0.0,0.0
c98f5cf1,4.0,1.7777777777777777,0.0,0.0,1.0,1,19.0,2.0,33.0,5.2631578947368425,3.0,2.0,0.0,0.0
ba3e8a89,4.0,4.878048780487805,0.0,0.0,21.0,1,9.0,1.0,15.0,4.555555555555555,4.0,4.0,0.0,0.0
d614c608,1.0,6.666666666666667,0.0,0.0,0.0,0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0
2e225ac4,5.0,9.615384615384617,0.0,0.0,0.0,0,1.0,1.0,20.0,20.0,5.0,5.0,0.0,0.0
